Sample	Bacillariophyta	Bolidophyceae	Chrysophyceae	Dictyochophyceae	Pelagophyceae	Phaeophyceae	Pinguiophyceae	Raphidophyceae	Strameno_all	Photo_all	depth_level	station	template	fraction	ntags	Month	Latitude	Longitude	sampling_depth	date	chloro_hplc	tara_NO2	tara_PO4	NO2NO3	tara_SI	tara_temp	tara_salinity
TV9_237	17165	12	26	155	233	0	11	0	17602	22708	DCM	4	WGA/D	5-20	1796545	sep	36.55333333	-6.56685	40	15-Sep-2009 16:45:02							
TV9_234	6159	42	223	487	138	12	2	0	7063	8817	SUR	4	D	5-20	2128487	sep	36.55333333	-6.56685	3	15-Sep-2009 16:45:02	0.098404						
TV9_254	59786	1293	8758	21967	73474	1835	19	0	167132	427846	DCM	4	D	0.8-5	2122955	sep	36.55333333	-6.56685	40	15-Sep-2009 16:45:02							
TV9_235	4689	1036	7494	21293	4774	526	40	0	39852	93006	SUR	4	D	0.8-5	976685	sep	36.55333333	-6.56685	3	15-Sep-2009 16:45:02	0.098404						
TV9_236	6280	2	21	14	13	0	6	0	6336	8976	DCM	4	WGA/D	180-2000	1857697	sep	36.55333333	-6.56685	40	15-Sep-2009 16:45:02							
TV9_233	1000	188	670	1026	722	11	5	0	3622	5392	SUR	4	D	180-2000	3150580	sep	36.55333333	-6.56685	3	15-Sep-2009 16:45:02	0.098404						
TV9_20	12517	24	296	265	40	12	50	18	13222	14299	DCM	7	WGA/D	5-20	2549282	sep	36.05	-1.933333333	42	23-Sep-2009 16:52:22	0.553274	0.005	0.026	0.400	0.652	17.577	37.175
TV9_16	64721	163	593	1658	31	25	229	21	67441	70406	SUR	7	WGA/D	5-20	1606212	sep	36.05	-1.933333333	3	23-Sep-2009 15:06:15	0.0812	0.076	0.041	0.230	0.998	23.841	37.544
TV9_21	8126	2991	10069	19440	1687	382	20	48	42763	81891	DCM	7	D	0.8-5	1625284	sep	36.05	-1.933333333	42	23-Sep-2009 16:52:22	0.553274	0.005	0.026	0.400	0.652	17.577	37.175
TV9_17	13584	2261	25834	48876	871	2738	32	23	94219	144725	SUR	7	D	0.8-5	1334743	sep	36.05	-1.933333333	3	23-Sep-2009 15:06:15	0.0812	0.076	0.041	0.230	0.998	23.841	37.544
TV9_19	661	0	14	13	41	1	4	0	734	892	DCM	7	D	180-2000	1221375	sep	36.05	-1.933333333	45	23-Sep-2009 16:52:22	0.553274	0.005	0.026	0.400	0.652	17.577	37.175
TV9_15	227	0	5	2	4	0	5	0	243	342	SUR	7	D	180-2000	1120111	sep	36.05	-1.933333333	3	23-Sep-2009 15:06:15	0.0812	0.076	0.041	0.230	0.998	23.841	37.544
TV9_22	10354	58	226	510	54	5	40	1	11248	12400	DCM	7	D	20-180	1526943	sep	36.05	-1.933333333	45	23-Sep-2009 16:52:22	0.553274	0.005	0.026	0.400	0.652	17.577	37.175
TV9_18	10192	1	51	33	19	3	117	0	10416	11464	SUR	7	D	20-180	2072395	sep	36.05	-1.933333333	3	23-Sep-2009 15:06:15	0.0812	0.076	0.041	0.230	0.998	23.841	37.544
TV9_265	46	0	4	11	7	0	3	0	71	85	DCM	9	WGA/D	5-20	408013	sep	39.06006667	5.9315	50	28-Sep-2009 13:36:58	0.434367	0.014	0.020	0.027	0.750	24.644	37.930
TV9_266	53108	866	4821	5586	2591	142	2429	0	69543	104023	SUR	9	WGA/D	5-20	4194704	sep	39.06006667	5.9315	3	28-Sep-2009 13:36:58	-0.0247	0.014	0.020	0.027	0.750	24.525	37.806
TV9_87	17753	265	3870	15548	37127	1478	1	16	76058	180809	DCM	9	D	0.8-5	1213719	sep	39.06006667	5.9315	50	28-Sep-2009 13:36:58	0.434367	0.014	0.020	0.027	0.750	24.644	37.930
TV9_85	7466	2242	18754	39977	970	4516	90	56	74071	159650	SUR	9	D	0.8-5	1726362	sep	39.06006667	5.9315	3	28-Sep-2009 13:36:58	-0.0247	0.014	0.020	0.027	0.750	24.525	37.806
TV9_86	32	0	2	4	16	0	0	0	54	383	DCM	9	D	180-2000	1916838	sep	39.06006667	5.9315	50	28-Sep-2009 13:36:58	0.434367	0.014	0.020	0.027	0.750	24.644	37.930
TV9_84	2262	65	816	2460	3914	276	4	1	9798	23658	SUR	9	D	180-2000	1648418	sep	39.06006667	5.9315	3	28-Sep-2009 13:36:58	-0.0247	0.014	0.020	0.027	0.750	24.525	37.806
TV9_268	617858	0	1147	0	1	0	521	0	619527	625534	SUR	11	WGA/D	5-20	1695575	oct	41.6686	2.7996		4-Oct-2009 09:15:00							
TV9_267	23786	490	5509	8066	1785	898	151	0	40685	67697	SUR	11	D	0.8-5	1891056	oct	41.6686	2.7996		4-Oct-2009 09:15:00							
TV9_270	655	11	404	920	865	118	1	1	2975	6012	SUR	11	D	180-2000	1919399	oct	41.6686	2.7996		4-Oct-2009 09:15:00							
TV9_269	560	13	106	154	37	16	5	0	891	1477	SUR	11	D	20-180	1863513	oct	41.6686	2.7996		4-Oct-2009 09:15:00							
TV9_272	54	0	9	21	1	0	0	0	85	1334	DCM	16	WGA/D	5-20	836038	oct	37.4055	15.454	44.8057	27-Oct-2009 16:02:55	0.157246	-0.032	-0.016	-0.204	4.257	36.773	37.633
TV9_273	11068	61	118	1319	2554	53	7	0	15180	24539	SUR	16	WGA/D	5-20	1439711	oct	37.4055	15.454	5.40542	27-Oct-2009 08:17:16	0.102723	0.015	0.041	0.011	0.665	21.024	38.147
TV9_271	25607	335	15247	36649	35544	4221	13	18	117634	237357	DCM	16	D	0.8-5	1761849	oct	37.4055	15.454	44.8057	27-Oct-2009 16:02:55	0.157246	-0.032	-0.016	-0.204	4.257	36.773	37.633
TV9_274	27720	958	23323	83202	915	1624	1827	0	139569	199544	SUR	16	D	0.8-5	2034603	oct	37.4055	15.454	5.40542	27-Oct-2009 08:17:16	0.102723	0.015	0.041	0.011	0.665	21.024	38.147
TV9_140	918	0	3	17	5	1	0	0	944	1130	DCM	18	D	5-20	1210915	nov	35.75903333	14.25735	55	02-Nov-2009 12:43:06	0.132494	0.034	0.043	0.113	0.284	31.882	37.749
TV9_136	10316	28	509	777	72	80	17	0	11799	13813	SUR	18	D	5-20	1666693	nov	35.75903333	14.25735	3	02-Nov-2009 08:18:39	0.048898	0.010	0.030	0.132	0.594	21.456	37.892
TV9_141	4064	231	9238	17640	8476	1184	10	59	40902	83266	DCM	18	D	0.8-5	1938169	nov	35.75903333	14.25735	55	02-Nov-2009 12:43:06	0.132494	0.034	0.043	0.113	0.284	31.882	37.749
TV9_137	4705	1269	24536	35151	2551	4580	44	24	72860	145510	SUR	18	D	0.8-5	1514487	nov	35.75903333	14.25735	3	02-Nov-2009 08:18:39	0.048898	0.010	0.030	0.132	0.594	21.456	37.892
TV9_139	1085	1	8	22	6	1	0	0	1123	1231	DCM	18	D	180-2000	1991751	nov	35.75903333	14.25735	55	02-Nov-2009 12:43:06	0.132494	0.034	0.043	0.113	0.284	31.882	37.749
TV9_135	54	0	8	7	5	0	0	0	74	138	SUR	18	D	180-2000	1959472	sep	35.75903333	14.25735	3	02-Nov-2009 08:18:39	0.048898	0.010	0.030	0.132	0.594	21.456	37.892
TV9_142	8569	0	17	25	16	2	13	0	8642	9129	DCM	18	D	20-180	2474520	nov	35.75903333	14.25735	55	02-Nov-2009 12:43:06	0.132494	0.034	0.043	0.113	0.284	31.882	37.749
TV9_138	2138	61	645	1265	43	76	12	0	4240	5862	SUR	18	D	20-180	1794253	nov	35.75903333	14.25735	3	02-Nov-2009 08:18:39	0.048898	0.010	0.030	0.132	0.594	21.456	37.892
TV9_276	219	0	27	4	7	2	0	0	259	319	SUR	20	WGA/D	5-20	2384276	nov	34.5047	14.8991	5.43325	12-Nov-2009 11:48:45	0.048936	0.003	0.012	0.022	0.531	21.997	38.434
TV9_275	4880	937	21578	58761	1835	2540	3	31	90565	167066	SUR	20	D	0.8-5	2644384	nov	34.5047	14.8991	5.43325	12-Nov-2009 11:48:45	0.048936	0.003	0.012	0.022	0.531	21.997	38.434
TV9_278	14	0	0	6	0	0	0	0	20	149	SUR	20	D	180-2000	1211327	nov	34.5047	14.8991	5.43325	12-Nov-2009 11:48:45	0.048936	0.003	0.012	0.022	0.531	21.997	38.434
TV9_277	6422	3	3	27	19	0	0	0	6474	6989	SUR	20	D	20-180	3317794	nov	34.5047	14.8991	5.43325	12-Nov-2009 11:48:45	0.048936	0.003	0.012	0.022	0.531	21.997	38.434
TV9_280	24702	0	121	378	25	7	10	1	25244	27986	DCM	22	D	5-20	1472570	nov	39.824	17.4034	31.1477	16-Nov-2009 16:51:04	0.25794	-0.151	0.012	-0.449	0.799	18.433	38.030
TV9_284	14390	2	101	185	9	2	8	0	14697	15843	SUR	22	D	5-20	1453080	nov	39.824	17.4034	5.47183	16-Nov-2009 08:06:26	0.180911	0.102	0.023	0.214	2.059	18.381	38.091
TV9_279	7526	436	7820	15997	1982	446	1	1	34209	80183	DCM	22	D	0.8-5	1713918	nov	39.824	17.4034	31.1477	16-Nov-2009 16:51:04	0.25794	-0.151	0.012	-0.449	0.799	18.433	38.030
TV9_283	16174	264	4234	8148	1448	228	22	1	30519	53150	SUR	22	D	0.8-5	1763142	nov	39.824	17.4034	5.47183	16-Nov-2009 08:06:26	0.180911	0.102	0.023	0.214	2.059	18.381	38.091
TV9_282	18386	8	348	1093	368	50	20	0	20273	21666	DCM	22	D	180-2000	1911138	nov	39.824	17.4034	31.1477	16-Nov-2009 16:51:04	0.25794	-0.151	0.012	-0.449	0.799	18.433	38.030
TV9_286	3547	1	14	49	0	2	1	0	3614	3990	SUR	22	D	180-2000	1750767	nov	39.824	17.4034	5.47183	16-Nov-2009 08:06:26	0.180911	0.102	0.023	0.214	2.059	18.381	38.091
TV9_281	43123	0	204	247	13	0	3	0	43590	44622	DCM	22	D	20-180	1115559	nov	39.824	17.4034	31.1477	16-Nov-2009 16:51:04	0.25794	-0.151	0.012	-0.449	0.799	18.433	38.030
TV9_285	26807	0	64	689	2	1	2	0	27565	29351	SUR	22	D	20-180	2035843	nov	39.824	17.4034	5.47183	16-Nov-2009 08:06:26	0.180911	0.102	0.023	0.214	2.059	18.381	38.091
TV9_132	1987	0	0	5	4	0	0	0	1996	2020	DCM	23	D	5-20	1416570	nov	42.20535	17.71401667	55	18-Nov-2009 15:32:48	0.177404	0.013	0.012	0.050	1.051	15.955	38.303
TV9_128	13979	21	796	1104	90	39	11	0	16040	20213	SUR	23	D	5-20	1477948	nov	42.20535	17.71401667	3	18-Nov-2009 10:33:13	0.138686	-0.001	0.015	0.079	1.430	17.172	38.224
