name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_C.txt_num	CD_7_long.contigs.assembly.bracken_C.txt_frac	CD_7_short.contigs.assembly.bracken_C.txt_num	CD_7_short.contigs.assembly.bracken_C.txt_frac	CD_7_short.scaffolds.assembly.bracken_C.txt_num	CD_7_short.scaffolds.assembly.bracken_C.txt_frac	TD_31_short.contigs.assembly.bracken_C.txt_num	TD_31_short.contigs.assembly.bracken_C.txt_frac	TD_31_short.scaffolds.assembly.bracken_C.txt_num	TD_31_short.scaffolds.assembly.bracken_C.txt_frac	TD_92_long.contigs.assembly.bracken_C.txt_num	TD_92_long.contigs.assembly.bracken_C.txt_frac	TD_92_short.contigs.assembly.bracken_C.txt_num	TD_92_short.contigs.assembly.bracken_C.txt_frac	TD_92_short.scaffolds.assembly.bracken_C.txt_num	TD_92_short.scaffolds.assembly.bracken_C.txt_frac
Clostridia	186801	C	119	0.53125	2682	0.13738	2664	0.13825	2713	0.25030	2689	0.25019	34	0.08995	850	0.07848	845	0.08186
Bacilli	91061	C	34	0.15179	659	0.03376	656	0.03404	1260	0.11625	1256	0.11686	42	0.11111	2574	0.23765	2467	0.23900
Bacteroidia	200643	C	59	0.26339	3656	0.18727	3642	0.18901	2519	0.23240	2479	0.23065	172	0.45503	1109	0.10239	1098	0.10637
Caudoviricetes	2731619	C	12	0.05357	294	0.01506	289	0.01500	234	0.02159	233	0.02168	0	0.00000	96	0.00886	96	0.00930
Gammaproteobacteria	1236	C	0	0.00000	10349	0.53009	10143	0.52639	3176	0.29302	3167	0.29466	130	0.34392	5549	0.51233	5167	0.50058
Alphaproteobacteria	28211	C	0	0.00000	309	0.01583	306	0.01588	138	0.01273	136	0.01265	0	0.00000	116	0.01071	115	0.01114
Betaproteobacteria	28216	C	0	0.00000	113	0.00579	111	0.00576	28	0.00258	25	0.00233	0	0.00000	48	0.00443	47	0.00455
Actinomycetes	1760	C	0	0.00000	342	0.01752	342	0.01775	179	0.01651	179	0.01665	0	0.00000	179	0.01653	180	0.01744
Coriobacteriia	84998	C	0	0.00000	128	0.00656	126	0.00654	45	0.00415	45	0.00419	0	0.00000	0	0.00000	0	0.00000
Epsilonproteobacteria	3031852	C	0	0.00000	69	0.00353	69	0.00358	87	0.00803	87	0.00809	0	0.00000	36	0.00332	35	0.00339
Fusobacteriia	203490	C	0	0.00000	35	0.00179	34	0.00176	26	0.00240	25	0.00233	0	0.00000	23	0.00212	23	0.00223
Methanobacteria	183925	C	0	0.00000	486	0.02489	486	0.02522	12	0.00111	12	0.00112	0	0.00000	0	0.00000	0	0.00000
Halobacteria	183963	C	0	0.00000	94	0.00481	94	0.00488	27	0.00249	26	0.00242	0	0.00000	36	0.00332	35	0.00339
Methanomicrobia	224756	C	0	0.00000	41	0.00210	41	0.00213	19	0.00175	18	0.00167	0	0.00000	14	0.00129	13	0.00126
Mammalia	40674	C	0	0.00000	266	0.01362	266	0.01380	331	0.03054	326	0.03033	0	0.00000	201	0.01856	201	0.01947
Tissierellia	1737404	C	0	0.00000	0	0.00000	0	0.00000	20	0.00185	20	0.00186	0	0.00000	0	0.00000	0	0.00000
Cyanophyceae	3028117	C	0	0.00000	0	0.00000	0	0.00000	12	0.00111	12	0.00112	0	0.00000	0	0.00000	0	0.00000
Methanococci	183939	C	0	0.00000	0	0.00000	0	0.00000	13	0.00120	13	0.00121	0	0.00000	0	0.00000	0	0.00000
