name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_F.txt_num	CD_7_long.contigs.assembly.bracken_F.txt_frac	CD_7_short.contigs.assembly.bracken_F.txt_num	CD_7_short.contigs.assembly.bracken_F.txt_frac	CD_7_short.scaffolds.assembly.bracken_F.txt_num	CD_7_short.scaffolds.assembly.bracken_F.txt_frac	TD_31_short.contigs.assembly.bracken_F.txt_num	TD_31_short.contigs.assembly.bracken_F.txt_frac	TD_31_short.scaffolds.assembly.bracken_F.txt_num	TD_31_short.scaffolds.assembly.bracken_F.txt_frac	TD_92_long.contigs.assembly.bracken_F.txt_num	TD_92_long.contigs.assembly.bracken_F.txt_frac	TD_92_short.contigs.assembly.bracken_F.txt_num	TD_92_short.contigs.assembly.bracken_F.txt_frac	TD_92_short.scaffolds.assembly.bracken_F.txt_num	TD_92_short.scaffolds.assembly.bracken_F.txt_frac
Lachnospiraceae	186803	F	58	0.34940	825	0.04293	821	0.04330	1311	0.12362	1299	0.12351	16	0.04482	313	0.02955	312	0.03093
Oscillospiraceae	216572	F	42	0.25301	1100	0.05724	1093	0.05765	685	0.06459	680	0.06466	0	0.00000	249	0.02351	247	0.02449
Bacteroidaceae	815	F	66	0.39759	2153	0.11204	2148	0.11330	2055	0.19378	2021	0.19217	134	0.37535	837	0.07901	830	0.08228
Enterobacteriaceae	543	F	0	0.00000	10277	0.53481	10074	0.53136	3113	0.29354	3106	0.29533	130	0.36415	5507	0.51987	5125	0.50808
Yersiniaceae	1903411	F	0	0.00000	18	0.00094	18	0.00095	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonadaceae	135621	F	0	0.00000	29	0.00151	28	0.00148	10	0.00094	10	0.00095	0	0.00000	0	0.00000	0	0.00000
Aeromonadaceae	84642	F	0	0.00000	12	0.00062	11	0.00058	18	0.00170	17	0.00162	0	0.00000	14	0.00132	14	0.00139
Rhizobiaceae	82115	F	0	0.00000	118	0.00614	139	0.00733	93	0.00877	92	0.00875	0	0.00000	75	0.00708	74	0.00734
Paracoccaceae	31989	F	0	0.00000	40	0.00208	105	0.00554	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseobacteraceae	2854170	F	0	0.00000	97	0.00505	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Azospirillaceae	2829815	F	0	0.00000	23	0.00120	23	0.00121	11	0.00104	10	0.00095	0	0.00000	10	0.00094	10	0.00099
Burkholderiaceae	119060	F	0	0.00000	38	0.00198	37	0.00195	23	0.00217	20	0.00190	0	0.00000	26	0.00245	25	0.00248
Clostridiaceae	31979	F	0	0.00000	255	0.01327	253	0.01334	125	0.01179	124	0.01179	0	0.00000	84	0.00793	82	0.00813
Butyricicoccaceae	3085642	F	0	0.00000	24	0.00125	24	0.00127	0	0.00000	0	0.00000	0	0.00000	18	0.00170	18	0.00178
Peptostreptococcaceae	186804	F	0	0.00000	298	0.01551	297	0.01567	410	0.03866	407	0.03870	0	0.00000	127	0.01199	127	0.01259
Monoglobaceae	3085657	F	0	0.00000	169	0.00879	166	0.00876	167	0.01575	165	0.01569	0	0.00000	56	0.00529	55	0.00545
Enterococcaceae	81852	F	0	0.00000	274	0.01426	271	0.01429	595	0.05611	596	0.05667	40	0.11204	1749	0.16511	1661	0.16467
Streptococcaceae	1300	F	0	0.00000	100	0.00520	100	0.00527	334	0.03149	333	0.03166	0	0.00000	440	0.04154	428	0.04243
Lactobacillaceae	33958	F	0	0.00000	73	0.00380	73	0.00385	82	0.00773	81	0.00770	0	0.00000	203	0.01916	195	0.01933
Bacillaceae	186817	F	0	0.00000	71	0.00369	70	0.00369	85	0.00802	84	0.00799	0	0.00000	116	0.01095	118	0.01170
Paenibacillaceae	186822	F	0	0.00000	22	0.00114	22	0.00116	28	0.00264	27	0.00257	0	0.00000	0	0.00000	0	0.00000
Staphylococcaceae	90964	F	0	0.00000	86	0.00448	86	0.00454	66	0.00622	65	0.00618	0	0.00000	41	0.00387	42	0.00416
Actinomycetaceae	2049	F	0	0.00000	86	0.00448	86	0.00454	33	0.00311	33	0.00314	0	0.00000	73	0.00689	73	0.00724
Tsukamurellaceae	85028	F	0	0.00000	23	0.00120	23	0.00121	48	0.00453	48	0.00456	0	0.00000	41	0.00387	41	0.00406
Nocardiaceae	85025	F	0	0.00000	53	0.00276	53	0.00280	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Micrococcaceae	1268	F	0	0.00000	14	0.00073	14	0.00074	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microbacteriaceae	85023	F	0	0.00000	11	0.00057	11	0.00058	19	0.00179	19	0.00181	0	0.00000	0	0.00000	0	0.00000
Streptomycetaceae	2062	F	0	0.00000	27	0.00141	27	0.00142	0	0.00000	0	0.00000	0	0.00000	23	0.00217	23	0.00228
Propionibacteriaceae	31957	F	0	0.00000	78	0.00406	78	0.00411	29	0.00273	29	0.00276	0	0.00000	0	0.00000	0	0.00000
Streptosporangiaceae	2004	F	0	0.00000	18	0.00094	18	0.00095	12	0.00113	12	0.00114	0	0.00000	10	0.00094	10	0.00099
Bifidobacteriaceae	31953	F	0	0.00000	15	0.00078	15	0.00079	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Coriobacteriaceae	84107	F	0	0.00000	127	0.00661	125	0.00659	44	0.00415	44	0.00418	0	0.00000	0	0.00000	0	0.00000
Metamycoplasmataceae	2895623	F	0	0.00000	10	0.00052	10	0.00053	15	0.00141	15	0.00143	0	0.00000	0	0.00000	0	0.00000
Tannerellaceae	2005525	F	0	0.00000	1232	0.06411	1226	0.06467	432	0.04074	426	0.04051	37	0.10364	235	0.02218	231	0.02290
Prevotellaceae	171552	F	0	0.00000	242	0.01259	241	0.01271	27	0.00255	27	0.00257	0	0.00000	34	0.00321	34	0.00337
Rikenellaceae	171550	F	0	0.00000	19	0.00099	17	0.00090	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacteraceae	72294	F	0	0.00000	68	0.00354	68	0.00359	87	0.00820	87	0.00827	0	0.00000	36	0.00340	35	0.00347
Fusobacteriaceae	203492	F	0	0.00000	34	0.00177	33	0.00174	26	0.00245	25	0.00238	0	0.00000	23	0.00217	23	0.00228
Methanobacteriaceae	2159	F	0	0.00000	486	0.02529	486	0.02563	12	0.00113	12	0.00114	0	0.00000	0	0.00000	0	0.00000
Haloarculaceae	1963268	F	0	0.00000	78	0.00406	78	0.00411	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methanosarcinaceae	2206	F	0	0.00000	16	0.00083	16	0.00084	13	0.00123	12	0.00114	0	0.00000	0	0.00000	0	0.00000
Hominidae	9604	F	0	0.00000	296	0.01540	297	0.01567	331	0.03121	326	0.03100	0	0.00000	201	0.01897	202	0.02003
Intestiviridae	2942964	F	0	0.00000	139	0.00723	136	0.00717	81	0.00764	81	0.00770	0	0.00000	0	0.00000	0	0.00000
Suoliviridae	2942966	F	0	0.00000	42	0.00219	42	0.00222	10	0.00094	10	0.00095	0	0.00000	0	0.00000	0	0.00000
Listeriaceae	186820	F	0	0.00000	0	0.00000	0	0.00000	44	0.00415	44	0.00418	0	0.00000	0	0.00000	0	0.00000
Planococcaceae	186818	F	0	0.00000	0	0.00000	0	0.00000	16	0.00151	16	0.00152	0	0.00000	0	0.00000	0	0.00000
