name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_G.txt_num	CD_7_long.contigs.assembly.bracken_G.txt_frac	CD_7_short.contigs.assembly.bracken_G.txt_num	CD_7_short.contigs.assembly.bracken_G.txt_frac	CD_7_short.scaffolds.assembly.bracken_G.txt_num	CD_7_short.scaffolds.assembly.bracken_G.txt_frac	TD_31_short.contigs.assembly.bracken_G.txt_num	TD_31_short.contigs.assembly.bracken_G.txt_frac	TD_31_short.scaffolds.assembly.bracken_G.txt_num	TD_31_short.scaffolds.assembly.bracken_G.txt_frac	TD_92_long.contigs.assembly.bracken_G.txt_num	TD_92_long.contigs.assembly.bracken_G.txt_frac	TD_92_short.contigs.assembly.bracken_G.txt_num	TD_92_short.contigs.assembly.bracken_G.txt_frac	TD_92_short.scaffolds.assembly.bracken_G.txt_num	TD_92_short.scaffolds.assembly.bracken_G.txt_frac
Lachnospira	28050	G	24	0.15789	481	0.02546	479	0.02572	782	0.07572	781	0.07639	13	0.03683	137	0.01322	136	0.01380
Agathobacter	1766253	G	20	0.13158	225	0.01191	225	0.01208	423	0.04096	412	0.04030	0	0.00000	80	0.00772	80	0.00812
Vescimonas	2892396	G	44	0.28947	933	0.04938	927	0.04978	553	0.05355	549	0.05370	0	0.00000	178	0.01717	176	0.01786
Bacteroides	816	G	64	0.42105	2054	0.10871	2049	0.11003	2000	0.19367	1966	0.19229	133	0.37677	824	0.07950	816	0.08278
Klebsiella	570	G	0	0.00000	7475	0.39561	7414	0.39811	84	0.00813	84	0.00822	0	0.00000	109	0.01052	107	0.01086
Escherichia	561	G	0	0.00000	2682	0.14194	2545	0.13666	2792	0.27036	2785	0.27240	130	0.36827	3779	0.36459	3383	0.34321
Enterobacter	547	G	0	0.00000	90	0.00476	90	0.00483	226	0.02188	226	0.02210	0	0.00000	1602	0.15456	1618	0.16415
Salmonella	590	G	0	0.00000	13	0.00069	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00145	15	0.00152
Serratia	613	G	0	0.00000	18	0.00095	18	0.00097	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas	286	G	0	0.00000	28	0.00148	27	0.00145	10	0.00097	10	0.00098	0	0.00000	0	0.00000	0	0.00000
