name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_O.txt_num	CD_7_long.contigs.assembly.bracken_O.txt_frac	CD_7_short.contigs.assembly.bracken_O.txt_num	CD_7_short.contigs.assembly.bracken_O.txt_frac	CD_7_short.scaffolds.assembly.bracken_O.txt_num	CD_7_short.scaffolds.assembly.bracken_O.txt_frac	TD_31_short.contigs.assembly.bracken_O.txt_num	TD_31_short.contigs.assembly.bracken_O.txt_frac	TD_31_short.scaffolds.assembly.bracken_O.txt_num	TD_31_short.scaffolds.assembly.bracken_O.txt_frac	TD_92_long.contigs.assembly.bracken_O.txt_num	TD_92_long.contigs.assembly.bracken_O.txt_frac	TD_92_short.contigs.assembly.bracken_O.txt_num	TD_92_short.contigs.assembly.bracken_O.txt_frac	TD_92_short.scaffolds.assembly.bracken_O.txt_num	TD_92_short.scaffolds.assembly.bracken_O.txt_frac
Lachnospirales	3085636	O	50	0.25381	825	0.04235	821	0.04270	1311	0.12145	1299	0.12136	16	0.04432	313	0.02928	312	0.03064
Eubacteriales	186802	O	50	0.25381	1384	0.07105	1375	0.07151	821	0.07605	814	0.07605	0	0.00000	353	0.03302	350	0.03437
Lactobacillales	186826	O	38	0.19289	453	0.02326	451	0.02346	1020	0.09449	1019	0.09520	43	0.11911	2392	0.22374	2282	0.22410
Bacteroidales	171549	O	59	0.29949	3657	0.18774	3642	0.18942	2520	0.23344	2479	0.23160	172	0.47645	1109	0.10373	1098	0.10783
Enterobacterales	91347	O	0	0.00000	10279	0.52770	10076	0.52405	3129	0.28986	3122	0.29167	130	0.36011	5520	0.51632	5137	0.50447
Pseudomonadales	72274	O	0	0.00000	29	0.00149	28	0.00146	10	0.00093	10	0.00093	0	0.00000	0	0.00000	0	0.00000
Aeromonadales	135624	O	0	0.00000	12	0.00062	11	0.00057	18	0.00167	17	0.00159	0	0.00000	14	0.00131	14	0.00137
Hyphomicrobiales	356	O	0	0.00000	206	0.01058	204	0.01061	61	0.00565	60	0.00561	0	0.00000	63	0.00589	63	0.00619
Rhodobacterales	204455	O	0	0.00000	69	0.00354	68	0.00354	61	0.00565	61	0.00570	0	0.00000	35	0.00327	34	0.00334
Rhodospirillales	204441	O	0	0.00000	27	0.00139	27	0.00140	15	0.00139	14	0.00131	0	0.00000	16	0.00150	16	0.00157
Burkholderiales	80840	O	0	0.00000	102	0.00524	100	0.00520	25	0.00232	22	0.00206	0	0.00000	41	0.00384	40	0.00393
Neisseriales	206351	O	0	0.00000	11	0.00056	11	0.00057	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Peptostreptococcales	3082720	O	0	0.00000	303	0.01556	302	0.01571	413	0.03826	410	0.03830	0	0.00000	126	0.01179	127	0.01247
Monoglobales	3085656	O	0	0.00000	169	0.00868	166	0.00863	167	0.01547	165	0.01541	0	0.00000	56	0.00524	55	0.00540
Bacillales	1385	O	0	0.00000	205	0.01052	205	0.01066	240	0.02223	237	0.02214	0	0.00000	185	0.01730	188	0.01846
Actinomycetales	2037	O	0	0.00000	86	0.00442	86	0.00447	33	0.00306	33	0.00308	0	0.00000	73	0.00683	73	0.00717
Mycobacteriales	85007	O	0	0.00000	89	0.00457	89	0.00463	56	0.00519	56	0.00523	0	0.00000	52	0.00486	52	0.00511
Micrococcales	85006	O	0	0.00000	28	0.00144	28	0.00146	34	0.00315	34	0.00318	0	0.00000	14	0.00131	14	0.00137
Kitasatosporales	85011	O	0	0.00000	27	0.00139	27	0.00140	0	0.00000	0	0.00000	0	0.00000	23	0.00215	23	0.00226
Propionibacteriales	85009	O	0	0.00000	78	0.00400	78	0.00406	29	0.00269	29	0.00271	0	0.00000	0	0.00000	0	0.00000
Streptosporangiales	85012	O	0	0.00000	18	0.00092	18	0.00094	12	0.00111	12	0.00112	0	0.00000	10	0.00094	10	0.00098
Bifidobacteriales	85004	O	0	0.00000	15	0.00077	15	0.00078	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Coriobacteriales	84999	O	0	0.00000	127	0.00652	125	0.00650	44	0.00408	44	0.00411	0	0.00000	0	0.00000	0	0.00000
Mycoplasmoidales	2790996	O	0	0.00000	10	0.00051	10	0.00052	15	0.00139	15	0.00140	0	0.00000	0	0.00000	0	0.00000
Campylobacterales	213849	O	0	0.00000	69	0.00354	69	0.00359	87	0.00806	87	0.00813	0	0.00000	36	0.00337	35	0.00344
Fusobacteriales	203491	O	0	0.00000	35	0.00180	34	0.00177	26	0.00241	25	0.00234	0	0.00000	23	0.00215	23	0.00226
