name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_S.txt_num	CD_7_long.contigs.assembly.bracken_S.txt_frac	CD_7_short.contigs.assembly.bracken_S.txt_num	CD_7_short.contigs.assembly.bracken_S.txt_frac	CD_7_short.scaffolds.assembly.bracken_S.txt_num	CD_7_short.scaffolds.assembly.bracken_S.txt_frac	TD_31_short.contigs.assembly.bracken_S.txt_num	TD_31_short.contigs.assembly.bracken_S.txt_frac	TD_31_short.scaffolds.assembly.bracken_S.txt_num	TD_31_short.scaffolds.assembly.bracken_S.txt_frac	TD_92_long.contigs.assembly.bracken_S.txt_num	TD_92_long.contigs.assembly.bracken_S.txt_frac	TD_92_short.contigs.assembly.bracken_S.txt_num	TD_92_short.contigs.assembly.bracken_S.txt_frac	TD_92_short.scaffolds.assembly.bracken_S.txt_num	TD_92_short.scaffolds.assembly.bracken_S.txt_frac
Lachnospira eligens	39485	S	24	0.17021	481	0.02625	479	0.02650	782	0.07822	781	0.07885	13	0.03714	137	0.01361	136	0.01421
Agathobacter rectalis	39491	S	20	0.14184	225	0.01228	225	0.01245	423	0.04231	412	0.04160	0	0.00000	80	0.00795	80	0.00836
Vescimonas fastidiosa	2714353	S	67	0.47518	932	0.05085	926	0.05123	554	0.05542	550	0.05553	0	0.00000	178	0.01768	176	0.01839
Bacteroides finegoldii	338188	S	30	0.21277	1384	0.07552	1380	0.07634	1158	0.11583	1126	0.11368	98	0.28000	523	0.05194	519	0.05424
Klebsiella pneumoniae	573	S	0	0.00000	6768	0.36929	6713	0.37138	57	0.00570	57	0.00575	0	0.00000	65	0.00646	67	0.00700
Klebsiella variicola	244366	S	0	0.00000	652	0.03558	647	0.03579	18	0.00180	18	0.00182	0	0.00000	0	0.00000	0	0.00000
Klebsiella oxytoca	571	S	0	0.00000	25	0.00136	23	0.00127	0	0.00000	0	0.00000	0	0.00000	33	0.00328	28	0.00293
Klebsiella michiganensis	1134687	S	0	0.00000	12	0.00065	12	0.00066	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Klebsiella quasipneumoniae	1463165	S	0	0.00000	13	0.00071	13	0.00072	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Escherichia coli	562	S	0	0.00000	2683	0.14640	2545	0.14079	2796	0.27968	2788	0.28147	129	0.36857	3761	0.37352	3365	0.35169
Enterobacter hormaechei	158836	S	0	0.00000	75	0.00409	75	0.00415	130	0.01300	130	0.01312	0	0.00000	1048	0.10408	1060	0.11079
Salmonella enterica	28901	S	0	0.00000	13	0.00071	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00139	14	0.00146
Serratia marcescens	615	S	0	0.00000	18	0.00098	18	0.00100	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas sp. A2	107445	S	0	0.00000	12	0.00065	11	0.00061	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas aeruginosa	287	S	0	0.00000	11	0.00060	11	0.00061	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pusillibacter faecalis	2714358	S	0	0.00000	132	0.00720	131	0.00725	106	0.01060	106	0.01070	0	0.00000	59	0.00586	59	0.00617
Clostridium perfringens	1502	S	0	0.00000	200	0.01091	199	0.01101	81	0.00810	81	0.00818	0	0.00000	57	0.00566	56	0.00585
Clostridium butyricum	1492	S	0	0.00000	22	0.00120	21	0.00116	16	0.00160	15	0.00151	0	0.00000	0	0.00000	0	0.00000
Clostridium estertheticum	238834	S	0	0.00000	15	0.00082	15	0.00083	18	0.00180	18	0.00182	0	0.00000	0	0.00000	0	0.00000
Butyricicoccus sp. GAM44	2109686	S	0	0.00000	24	0.00131	24	0.00133	0	0.00000	0	0.00000	0	0.00000	18	0.00179	18	0.00188
Roseburia sp. 831b	1261635	S	0	0.00000	38	0.00207	37	0.00205	43	0.00430	43	0.00434	0	0.00000	22	0.00218	22	0.00230
Butyrivibrio fibrisolvens	831	S	0	0.00000	18	0.00098	18	0.00100	31	0.00310	31	0.00313	0	0.00000	0	0.00000	0	0.00000
Blautia hydrogenotrophica	53443	S	0	0.00000	31	0.00169	31	0.00171	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sporofaciens musculi	2681861	S	0	0.00000	10	0.00055	10	0.00055	11	0.00110	11	0.00111	0	0.00000	0	0.00000	0	0.00000
Clostridioides difficile	1496	S	0	0.00000	258	0.01408	257	0.01422	364	0.03641	362	0.03655	0	0.00000	121	0.01202	121	0.01265
Paraclostridium bifermentans	1490	S	0	0.00000	23	0.00125	23	0.00127	27	0.00270	26	0.00262	0	0.00000	0	0.00000	0	0.00000
Paraclostridium sordellii	1505	S	0	0.00000	14	0.00076	14	0.00077	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Monoglobus pectinilyticus	1981510	S	0	0.00000	169	0.00922	166	0.00918	167	0.01671	166	0.01676	0	0.00000	56	0.00556	55	0.00575
Enterococcus faecium	1352	S	0	0.00000	220	0.01200	217	0.01200	461	0.04611	461	0.04654	40	0.11429	1509	0.14987	1420	0.14841
Enterococcus sp. FDAARGOS_553	2420313	S	0	0.00000	29	0.00158	30	0.00166	17	0.00170	17	0.00172	0	0.00000	23	0.00228	23	0.00240
Enterococcus faecalis	1351	S	0	0.00000	50	0.00273	50	0.00277	102	0.01020	102	0.01030	0	0.00000	46	0.00457	45	0.00470
Streptococcus salivarius	1304	S	0	0.00000	18	0.00098	18	0.00100	186	0.01861	186	0.01878	0	0.00000	357	0.03546	347	0.03627
Streptococcus oralis	1303	S	0	0.00000	17	0.00093	17	0.00094	18	0.00180	18	0.00182	0	0.00000	22	0.00218	21	0.00219
Lactiplantibacillus plantarum	1590	S	0	0.00000	24	0.00131	24	0.00133	0	0.00000	0	0.00000	0	0.00000	48	0.00477	45	0.00470
Staphylococcus aureus	1280	S	0	0.00000	156	0.00851	156	0.00863	89	0.00890	89	0.00899	0	0.00000	0	0.00000	0	0.00000
