name	taxonomy_id	taxonomy_lvl	CD_7_short.contigs.assembly.bracken_S1.txt_num	CD_7_short.contigs.assembly.bracken_S1.txt_frac	CD_7_short.scaffolds.assembly.bracken_S1.txt_num	CD_7_short.scaffolds.assembly.bracken_S1.txt_frac	TD_31_short.contigs.assembly.bracken_S1.txt_num	TD_31_short.contigs.assembly.bracken_S1.txt_frac	TD_31_short.scaffolds.assembly.bracken_S1.txt_num	TD_31_short.scaffolds.assembly.bracken_S1.txt_frac	TD_92_short.contigs.assembly.bracken_S1.txt_num	TD_92_short.contigs.assembly.bracken_S1.txt_frac	TD_92_short.scaffolds.assembly.bracken_S1.txt_num	TD_92_short.scaffolds.assembly.bracken_S1.txt_frac
Klebsiella pneumoniae subsp. pneumoniae	72407	S1	10246	0.79667	10075	0.79613	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Escherichia coli O157:H7	83334	S1	498	0.03872	471	0.03722	0	0.00000	0	0.00000	4099	0.83807	3727	0.82785
[Eubacterium] eligens ATCC 27750	515620	S1	762	0.05925	759	0.05998	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Blautia hydrogenotrophica DSM 10507	476272	S1	568	0.04416	565	0.04465	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Segatella copri DSM 18205	537011	S1	217	0.01687	216	0.01707	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella sp. oral taxon 299 str. F0039	575614	S1	21	0.00163	21	0.00166	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methanobrevibacter smithii ATCC 35061	420247	S1	488	0.03794	488	0.03856	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr99_1	2986399	S1	25	0.00194	24	0.00190	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalibacterium phage FP_Toutatis	2070187	S1	19	0.00148	19	0.00150	22	0.01293	22	0.01296	0	0.00000	0	0.00000
Faecalibacterium phage FP_oengus	2070188	S1	17	0.00132	17	0.00134	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptococcus salivarius M18	1074494	S1	0	0.00000	0	0.00000	129	0.07579	131	0.07720	228	0.04662	222	0.04931
Streptococcus salivarius K12	1200793	S1	0	0.00000	0	0.00000	620	0.36428	619	0.36476	564	0.11531	553	0.12283
Aeromonas salmonicida subsp. salmonicida	29491	S1	0	0.00000	0	0.00000	891	0.52350	886	0.52210	0	0.00000	0	0.00000
Streptococcus phage 20617	1392231	S1	0	0.00000	0	0.00000	40	0.02350	39	0.02298	0	0.00000	0	0.00000
