name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_C.txt_num	CD_7_long.bracken_C.txt_frac	CD_7_short.bracken_C.txt_num	CD_7_short.bracken_C.txt_frac	TD_31_long.bracken_C.txt_num	TD_31_long.bracken_C.txt_frac	TD_31_short.bracken_C.txt_num	TD_31_short.bracken_C.txt_frac	TD_92_long.bracken_C.txt_num	TD_92_long.bracken_C.txt_frac	TD_92_short.bracken_C.txt_num	TD_92_short.bracken_C.txt_frac
Clostridia	186801	C	7270	0.32838	381398	0.34342	6199	0.20564	117806	0.05862	2284	0.03006	181550	0.08246
Bacilli	91061	C	1686	0.07616	91163	0.08209	1531	0.05079	50296	0.02503	1635	0.02152	166379	0.07557
Coriobacteriia	84998	C	4309	0.19463	105868	0.09533	18	0.00060	2411	0.00120	30	0.00039	3252	0.00148
Actinomycetes	1760	C	141	0.00637	50074	0.04509	253	0.00839	13158	0.00655	94	0.00124	66379	0.03015
Bacteroidia	200643	C	3864	0.17453	153342	0.13807	19578	0.64946	1703761	0.84780	62047	0.81657	1094740	0.49723
Gammaproteobacteria	1236	C	1928	0.08709	191515	0.17245	1453	0.04820	30011	0.01493	9310	0.12252	575566	0.26142
Epsilonproteobacteria	3031852	C	312	0.01409	29149	0.02625	383	0.01271	9278	0.00462	72	0.00095	4779	0.00217
Mammalia	40674	C	726	0.03279	20259	0.01824	689	0.02286	37938	0.01888	352	0.00463	43491	0.01975
Caudoviricetes	2731619	C	1903	0.08596	13345	0.01202	41	0.00136	3049	0.00152	115	0.00151	4192	0.00190
Tissierellia	1737404	C	0	0.00000	698	0.00063	0	0.00000	447	0.00022	0	0.00000	767	0.00035
Negativicutes	909932	C	0	0.00000	244	0.00022	0	0.00000	97	0.00005	0	0.00000	290	0.00013
Thermoleophilia	1497346	C	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Deinococci	188787	C	0	0.00000	1637	0.00147	0	0.00000	1314	0.00065	0	0.00000	178	0.00008
Cyanophyceae	3028117	C	0	0.00000	2863	0.00258	0	0.00000	561	0.00028	0	0.00000	2373	0.00108
Thermomicrobia	189775	C	0	0.00000	62	0.00006	0	0.00000	18	0.00001	0	0.00000	14	0.00001
Alphaproteobacteria	28211	C	0	0.00000	27795	0.02503	0	0.00000	15337	0.00763	0	0.00000	26279	0.01194
Betaproteobacteria	28216	C	0	0.00000	6890	0.00620	0	0.00000	5217	0.00260	46	0.00061	6682	0.00303
Acidithiobacillia	1807140	C	0	0.00000	58	0.00005	0	0.00000	22	0.00001	0	0.00000	25	0.00001
Flavobacteriia	117743	C	0	0.00000	6328	0.00570	0	0.00000	2801	0.00139	0	0.00000	4476	0.00203
Cytophagia	768503	C	0	0.00000	555	0.00050	0	0.00000	1702	0.00085	0	0.00000	714	0.00032
Sphingobacteriia	117747	C	0	0.00000	37	0.00003	0	0.00000	346	0.00017	0	0.00000	144	0.00007
Gemmatimonadia	219685	C	0	0.00000	80	0.00007	0	0.00000	15	0.00001	0	0.00000	213	0.00010
Fusobacteriia	203490	C	0	0.00000	3092	0.00278	0	0.00000	928	0.00046	0	0.00000	1615	0.00073
Desulfovibrionia	3031449	C	0	0.00000	80	0.00007	0	0.00000	28	0.00001	0	0.00000	13	0.00001
Desulfuromonadia	3031651	C	0	0.00000	26	0.00002	0	0.00000	87	0.00004	0	0.00000	85	0.00004
Spirochaetia	203692	C	0	0.00000	93	0.00008	0	0.00000	44	0.00002	0	0.00000	57	0.00003
Planctomycetia	203683	C	0	0.00000	39	0.00004	0	0.00000	60	0.00003	0	0.00000	49	0.00002
Halobacteria	183963	C	0	0.00000	9379	0.00845	0	0.00000	4916	0.00245	0	0.00000	6559	0.00298
Methanomicrobia	224756	C	0	0.00000	6705	0.00604	0	0.00000	4310	0.00214	0	0.00000	5414	0.00246
Methanobacteria	183925	C	0	0.00000	4142	0.00373	0	0.00000	879	0.00044	0	0.00000	2185	0.00099
Methanococci	183939	C	0	0.00000	1338	0.00120	0	0.00000	1058	0.00053	0	0.00000	1325	0.00060
Methanopyri	183988	C	0	0.00000	95	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermococci	183968	C	0	0.00000	616	0.00055	0	0.00000	701	0.00035	0	0.00000	344	0.00016
Methanonatronarchaeia	171536	C	0	0.00000	88	0.00008	0	0.00000	13	0.00001	0	0.00000	36	0.00002
Archaeoglobi	183980	C	0	0.00000	62	0.00006	0	0.00000	64	0.00003	0	0.00000	57	0.00003
Thermoprotei	183924	C	0	0.00000	693	0.00062	0	0.00000	446	0.00022	0	0.00000	383	0.00017
Nitrososphaeria	1643678	C	0	0.00000	202	0.00018	0	0.00000	181	0.00009	0	0.00000	229	0.00010
Conexivisphaeria	2798274	C	0	0.00000	14	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermoplasmata	183967	C	0	0.00000	438	0.00039	0	0.00000	155	0.00008	0	0.00000	155	0.00007
Herviviricetes	2731363	C	0	0.00000	21	0.00002	0	0.00000	0	0.00000	0	0.00000	15	0.00001
Megaviricetes	2732523	C	0	0.00000	67	0.00006	0	0.00000	64	0.00003	0	0.00000	87	0.00004
Naldaviricetes	2840056	C	0	0.00000	17	0.00002	0	0.00000	37	0.00002	0	0.00000	10	0.00000
Desulfobacteria	3024418	C	0	0.00000	0	0.00000	0	0.00000	26	0.00001	0	0.00000	0	0.00000
Candidatus Lokiarchaeia	3049162	C	0	0.00000	0	0.00000	0	0.00000	22	0.00001	0	0.00000	200	0.00009
Ellioviricetes	2497576	C	0	0.00000	0	0.00000	0	0.00000	11	0.00001	0	0.00000	15	0.00001
Stelpaviricetes	2732507	C	0	0.00000	0	0.00000	0	0.00000	14	0.00001	0	0.00000	0	0.00000
Hydrogenophilia	2008785	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	282	0.00013
Terriglobia	204432	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Pokkesviricetes	2732525	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00001
Resentoviricetes	2732459	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00002
