name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_F.txt_num	CD_7_long.bracken_F.txt_frac	CD_7_short.bracken_F.txt_num	CD_7_short.bracken_F.txt_frac	TD_31_long.bracken_F.txt_num	TD_31_long.bracken_F.txt_frac	TD_31_short.bracken_F.txt_num	TD_31_short.bracken_F.txt_frac	TD_92_long.bracken_F.txt_num	TD_92_long.bracken_F.txt_frac	TD_92_short.bracken_F.txt_num	TD_92_short.bracken_F.txt_frac
Lachnospiraceae	186803	F	3357	0.15350	125294	0.11334	2487	0.08270	39390	0.01962	967	0.01274	65787	0.02992
Oscillospiraceae	216572	F	2070	0.09465	156089	0.14119	1911	0.06355	44651	0.02224	554	0.00730	44931	0.02044
Clostridiaceae	31979	F	1227	0.05610	43545	0.03939	1221	0.04060	13336	0.00664	432	0.00569	21455	0.00976
Butyricicoccaceae	3085642	F	33	0.00151	335	0.00030	77	0.00256	728	0.00036	0	0.00000	63	0.00003
Peptostreptococcaceae	186804	F	500	0.02286	27714	0.02507	303	0.01008	9839	0.00490	266	0.00350	33009	0.01501
Monoglobaceae	3085657	F	61	0.00279	25948	0.02347	190	0.00632	9043	0.00450	55	0.00072	13234	0.00602
Enterococcaceae	81852	F	1295	0.05921	40068	0.03624	1059	0.03522	22555	0.01124	1352	0.01781	112906	0.05135
Streptococcaceae	1300	F	53	0.00242	1753	0.00159	93	0.00309	6390	0.00318	55	0.00072	6924	0.00315
Lactobacillaceae	33958	F	337	0.01541	10143	0.00917	316	0.01051	8078	0.00402	223	0.00294	11001	0.00500
Coriobacteriaceae	84107	F	4309	0.19703	105694	0.09561	15	0.00050	1937	0.00096	30	0.00040	3252	0.00148
Micrococcaceae	1268	F	81	0.00370	9265	0.00838	0	0.00000	1223	0.00061	56	0.00074	11362	0.00517
Propionibacteriaceae	31957	F	41	0.00187	6366	0.00576	15	0.00050	1274	0.00063	20	0.00026	3324	0.00151
Bacteroidaceae	815	F	2870	0.13123	116069	0.10499	14130	0.46987	1154561	0.57512	37772	0.49762	758691	0.34509
Tannerellaceae	2005525	F	956	0.04371	22902	0.02072	5137	0.17082	521996	0.26002	24057	0.31693	330335	0.15025
Prevotellaceae	171552	F	37	0.00169	12963	0.01173	314	0.01044	21730	0.01082	213	0.00281	4514	0.00205
Enterobacteriaceae	543	F	1928	0.08816	183786	0.16625	1442	0.04795	24568	0.01224	9307	0.12261	567496	0.25812
Campylobacteraceae	72294	F	312	0.01427	29093	0.02632	383	0.01274	9257	0.00461	72	0.00095	4691	0.00213
Hominidae	9604	F	726	0.03320	28468	0.02575	689	0.02291	37938	0.01890	352	0.00464	43492	0.01978
Suoliviridae	2942966	F	855	0.03909	930	0.00084	12	0.00040	113	0.00006	35	0.00046	369	0.00017
Crevaviridae	2942963	F	451	0.02062	17	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
