name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_G.txt_num	CD_7_long.bracken_G.txt_frac	CD_7_short.bracken_G.txt_num	CD_7_short.bracken_G.txt_frac	TD_31_long.bracken_G.txt_num	TD_31_long.bracken_G.txt_frac	TD_31_short.bracken_G.txt_num	TD_31_short.bracken_G.txt_frac	TD_92_long.bracken_G.txt_num	TD_92_long.bracken_G.txt_frac	TD_92_short.bracken_G.txt_num	TD_92_short.bracken_G.txt_frac
Agathobacter	1766253	G	1654	0.07569	48159	0.04350	800	0.02672	16139	0.00804	208	0.00274	22932	0.01044
Lachnospira	28050	G	1446	0.06617	61306	0.05538	1405	0.04692	16093	0.00802	669	0.00883	31906	0.01452
Roseburia	841	G	68	0.00311	6034	0.00545	30	0.00100	1593	0.00079	49	0.00065	6985	0.00318
Blautia	572511	G	54	0.00247	4129	0.00373	183	0.00611	3705	0.00185	0	0.00000	65	0.00003
Vescimonas	2892396	G	1669	0.07638	134759	0.12173	1717	0.05734	35865	0.01786	532	0.00702	39934	0.01818
Pusillibacter	2892397	G	375	0.01716	20931	0.01891	131	0.00438	7949	0.00396	20	0.00026	4881	0.00222
Clostridium	1485	G	1182	0.05409	43542	0.03933	1221	0.04078	13335	0.00664	435	0.00574	21451	0.00976
Sarcina	1266	G	44	0.00201	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Butyricicoccus	580596	G	33	0.00151	335	0.00030	77	0.00257	728	0.00036	0	0.00000	63	0.00003
Clostridioides	1870884	G	457	0.02091	27142	0.02452	284	0.00949	9526	0.00474	237	0.00313	30265	0.01378
Paraclostridium	1849822	G	18	0.00082	520	0.00047	14	0.00047	291	0.00014	21	0.00028	2715	0.00124
Monoglobus	2039302	G	61	0.00279	25948	0.02344	190	0.00635	9043	0.00450	55	0.00073	13234	0.00602
Enterococcus	1350	G	1297	0.05935	40062	0.03619	1061	0.03544	22538	0.01123	1354	0.01787	112815	0.05135
Streptococcus	1301	G	46	0.00211	607	0.00055	72	0.00240	4510	0.00225	53	0.00070	6295	0.00287
Lactobacillus	1578	G	319	0.01460	5212	0.00471	294	0.00982	3935	0.00196	0	0.00000	2393	0.00109
Pediococcus	1253	G	14	0.00064	164	0.00015	0	0.00000	232	0.00012	0	0.00000	661	0.00030
Collinsella	102106	G	4309	0.19719	105694	0.09548	15	0.00050	1937	0.00096	30	0.00040	3252	0.00148
Glutamicibacter	1742989	G	81	0.00371	6545	0.00591	0	0.00000	0	0.00000	56	0.00074	3133	0.00143
Cutibacterium	1912216	G	41	0.00188	6369	0.00575	15	0.00050	1274	0.00063	20	0.00026	3325	0.00151
Bacteroides	816	G	2640	0.12081	114773	0.10368	13868	0.46316	1136751	0.56622	37635	0.49662	757136	0.34462
Phocaeicola	909656	G	231	0.01057	1298	0.00117	264	0.00882	17810	0.00887	138	0.00182	1556	0.00071
Parabacteroides	375288	G	956	0.04375	22902	0.02069	5138	0.17160	522005	0.26001	24058	0.31746	330340	0.15036
Segatella	2974251	G	34	0.00156	11731	0.01060	314	0.01049	15371	0.00766	209	0.00276	1854	0.00084
Escherichia	561	G	800	0.03661	120170	0.10856	543	0.01814	16630	0.00828	9065	0.11962	547120	0.24903
Klebsiella	570	G	1120	0.05125	61605	0.05565	123	0.00411	2018	0.00101	138	0.00182	9449	0.00430
Campylobacter	194	G	312	0.01428	29093	0.02628	384	0.01282	9257	0.00461	72	0.00095	4691	0.00214
Homo	9605	G	726	0.03322	20261	0.01830	689	0.02301	37939	0.01890	352	0.00464	43492	0.01980
Buorbuivirus	2948644	G	640	0.02929	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aurodevirus	2946811	G	194	0.00888	14	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Afonbuvirus	2942989	G	10	0.00046	46	0.00004	0	0.00000	11	0.00001	0	0.00000	0	0.00000
Kingevirus	2948785	G	306	0.01400	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Junduvirus	2948774	G	145	0.00664	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lahndsivirus	2948793	G	261	0.01194	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kahnovirus	2942979	G	54	0.00247	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kolpuevirus	2948787	G	44	0.00201	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Toutatisvirus	2733138	G	105	0.00481	1786	0.00161	0	0.00000	714	0.00036	0	0.00000	43	0.00002
Oengusvirus	2733199	G	89	0.00407	811	0.00073	0	0.00000	197	0.00010	0	0.00000	0	0.00000
Taranisvirus	2733134	G	17	0.00078	6383	0.00577	0	0.00000	20	0.00001	0	0.00000	0	0.00000
Ruminococcus	1263	G	0	0.00000	350	0.00032	0	0.00000	109	0.00005	0	0.00000	24	0.00001
Flavonifractor	946234	G	0	0.00000	36	0.00003	44	0.00147	721	0.00036	0	0.00000	86	0.00004
Anaerotruncus	244127	G	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Butyrivibrio	830	G	0	0.00000	2195	0.00198	0	0.00000	1373	0.00068	0	0.00000	2574	0.00117
Anaerobutyricum	2569097	G	0	0.00000	1429	0.00129	0	0.00000	66	0.00003	0	0.00000	31	0.00001
Mediterraneibacter	2316020	G	0	0.00000	1074	0.00097	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sporofaciens	2811390	G	0	0.00000	860	0.00078	0	0.00000	365	0.00018	0	0.00000	994	0.00045
Pseudobutyrivibrio	46205	G	0	0.00000	101	0.00009	0	0.00000	45	0.00002	0	0.00000	10	0.00000
Terrisporobacter	1505652	G	0	0.00000	50	0.00005	0	0.00000	22	0.00001	0	0.00000	24	0.00001
Peptoclostridium	1481960	G	0	0.00000	352	0.00032	0	0.00000	56	0.00003	0	0.00000	200	0.00009
Alkaliphilus	114627	G	0	0.00000	23	0.00002	0	0.00000	19	0.00001	0	0.00000	164	0.00007
Bacillus	1386	G	0	0.00000	5383	0.00486	0	0.00000	1807	0.00090	0	0.00000	5226	0.00238
Peribacillus	2675229	G	0	0.00000	2109	0.00191	0	0.00000	813	0.00040	0	0.00000	1900	0.00086
Priestia	2800373	G	0	0.00000	628	0.00057	0	0.00000	269	0.00013	0	0.00000	680	0.00031
Niallia	2837506	G	0	0.00000	423	0.00038	0	0.00000	211	0.00011	0	0.00000	386	0.00018
Pontibacillus	289201	G	0	0.00000	126	0.00011	0	0.00000	64	0.00003	0	0.00000	174	0.00008
Metabacillus	2675233	G	0	0.00000	144	0.00013	0	0.00000	19	0.00001	0	0.00000	136	0.00006
Anoxybacillus	150247	G	0	0.00000	51	0.00005	0	0.00000	14	0.00001	0	0.00000	23	0.00001
Radiobacillus	2785518	G	0	0.00000	34	0.00003	0	0.00000	69	0.00003	0	0.00000	91	0.00004
Mesobacillus	2675231	G	0	0.00000	23	0.00002	0	0.00000	51	0.00003	0	0.00000	0	0.00000
Cytobacillus	2675230	G	0	0.00000	14	0.00001	0	0.00000	255	0.00013	0	0.00000	25	0.00001
Lysinibacillus	400634	G	0	0.00000	12	0.00001	0	0.00000	29	0.00001	0	0.00000	44	0.00002
Geobacillus	129337	G	0	0.00000	60	0.00005	0	0.00000	0	0.00000	0	0.00000	113	0.00005
Rossellomorea	2837508	G	0	0.00000	20	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parageobacillus	1906945	G	0	0.00000	50	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus	44249	G	0	0.00000	6280	0.00567	0	0.00000	1963	0.00098	0	0.00000	3275	0.00149
Brevibacillus	55080	G	0	0.00000	1481	0.00134	0	0.00000	472	0.00024	0	0.00000	1123	0.00051
Staphylococcus	1279	G	0	0.00000	19144	0.01729	58	0.00194	4532	0.00226	0	0.00000	17385	0.00791
Listeria	1637	G	0	0.00000	2264	0.00205	0	0.00000	1086	0.00054	0	0.00000	2242	0.00102
Kurthia	1649	G	0	0.00000	494	0.00045	0	0.00000	97	0.00005	0	0.00000	50	0.00002
Planococcus	1372	G	0	0.00000	135	0.00012	0	0.00000	22	0.00001	0	0.00000	654	0.00030
Exiguobacterium	33986	G	0	0.00000	259	0.00023	0	0.00000	1434	0.00071	0	0.00000	1788	0.00081
Alicyclobacillus	29330	G	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	127	0.00006
Latilactobacillus	2767885	G	0	0.00000	1463	0.00132	0	0.00000	809	0.00040	0	0.00000	1238	0.00056
Levilactobacillus	2767886	G	0	0.00000	1508	0.00136	0	0.00000	326	0.00016	0	0.00000	452	0.00021
