name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_O.txt_num	CD_7_long.bracken_O.txt_frac	CD_7_short.bracken_O.txt_num	CD_7_short.bracken_O.txt_frac	TD_31_long.bracken_O.txt_num	TD_31_long.bracken_O.txt_frac	TD_31_short.bracken_O.txt_num	TD_31_short.bracken_O.txt_frac	TD_92_long.bracken_O.txt_num	TD_92_long.bracken_O.txt_frac	TD_92_short.bracken_O.txt_num	TD_92_short.bracken_O.txt_frac
Lachnospirales	3085636	O	3357	0.15181	125294	0.11285	2487	0.08262	39389	0.01961	967	0.01274	65787	0.02989
Eubacteriales	186802	O	3350	0.15149	202061	0.18200	3218	0.10691	59452	0.02960	994	0.01309	69151	0.03141
Peptostreptococcales	3082720	O	500	0.02261	28091	0.02530	303	0.01007	9915	0.00494	266	0.00350	33376	0.01516
Monoglobales	3085656	O	61	0.00276	25948	0.02337	190	0.00631	9043	0.00450	55	0.00072	13234	0.00601
Lactobacillales	186826	O	1683	0.07611	51981	0.04682	1468	0.04877	37052	0.01845	1631	0.02148	130865	0.05945
Coriobacteriales	84999	O	4309	0.19486	105694	0.09520	15	0.00050	1937	0.00096	30	0.00040	3252	0.00148
Micrococcales	85006	O	81	0.00366	11314	0.01019	0	0.00000	3629	0.00181	60	0.00079	15117	0.00687
Propionibacteriales	85009	O	41	0.00185	6367	0.00573	15	0.00050	1274	0.00063	20	0.00026	3324	0.00151
Bacteroidales	171549	O	3864	0.17474	153342	0.13811	19583	0.65060	1703761	0.84837	62047	0.81718	1094740	0.49733
Enterobacterales	91347	O	1929	0.08723	185209	0.16682	1442	0.04791	25762	0.01283	9307	0.12258	569117	0.25855
Campylobacterales	213849	O	312	0.01411	29149	0.02625	383	0.01272	9278	0.00462	72	0.00095	4779	0.00217
Primates	9443	O	726	0.03283	28421	0.02560	689	0.02289	37938	0.01889	352	0.00464	43491	0.01976
Crassvirales	1978007	O	1900	0.08592	4956	0.00446	37	0.00123	1803	0.00090	114	0.00150	3012	0.00137
Bacillales	1385	O	0	0.00000	39182	0.03529	64	0.00213	13243	0.00659	0	0.00000	35513	0.01613
Tissierellales	1737405	O	0	0.00000	698	0.00063	0	0.00000	447	0.00022	0	0.00000	767	0.00035
Selenomonadales	909929	O	0	0.00000	244	0.00022	0	0.00000	96	0.00005	0	0.00000	289	0.00013
Eggerthellales	1643822	O	0	0.00000	174	0.00016	0	0.00000	474	0.00024	0	0.00000	0	0.00000
Mycobacteriales	85007	O	0	0.00000	17455	0.01572	0	0.00000	2963	0.00148	0	0.00000	21962	0.00998
Bifidobacteriales	85004	O	0	0.00000	6340	0.00571	206	0.00684	1934	0.00096	13	0.00017	2994	0.00136
Kitasatosporales	85011	O	0	0.00000	3710	0.00334	0	0.00000	1560	0.00078	0	0.00000	9967	0.00453
Streptosporangiales	85012	O	0	0.00000	2920	0.00263	0	0.00000	1275	0.00063	0	0.00000	8443	0.00384
Actinomycetales	2037	O	0	0.00000	1900	0.00171	0	0.00000	497	0.00025	0	0.00000	2777	0.00126
Pseudonocardiales	85010	O	0	0.00000	57	0.00005	0	0.00000	19	0.00001	0	0.00000	1788	0.00081
Miltoncostaeales	2843198	O	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Deinococcales	118964	O	0	0.00000	1580	0.00142	0	0.00000	663	0.00033	0	0.00000	175	0.00008
Thermales	68933	O	0	0.00000	56	0.00005	0	0.00000	27	0.00001	0	0.00000	0	0.00000
Leptolyngbyales	3079749	O	0	0.00000	1246	0.00112	0	0.00000	421	0.00021	0	0.00000	1589	0.00072
Coleofasciculales	3079753	O	0	0.00000	114	0.00010	0	0.00000	73	0.00004	0	0.00000	107	0.00005
Nostocales	1161	O	0	0.00000	57	0.00005	0	0.00000	39	0.00002	0	0.00000	85	0.00004
Acaryochloridales	3079744	O	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	24	0.00001
Oscillatoriales	1150	O	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycoplasmoidales	2790996	O	0	0.00000	1400	0.00126	0	0.00000	617	0.00031	0	0.00000	483	0.00022
Thermomicrobiales	189776	O	0	0.00000	62	0.00006	0	0.00000	18	0.00001	0	0.00000	14	0.00001
Oceanospirillales	135619	O	0	0.00000	1727	0.00156	0	0.00000	546	0.00027	0	0.00000	914	0.00042
Pseudomonadales	72274	O	0	0.00000	1398	0.00126	0	0.00000	709	0.00035	0	0.00000	1339	0.00061
Aeromonadales	135624	O	0	0.00000	891	0.00080	0	0.00000	1091	0.00054	0	0.00000	1913	0.00087
Lysobacterales	135614	O	0	0.00000	786	0.00071	0	0.00000	471	0.00023	0	0.00000	603	0.00027
Moraxellales	2887326	O	0	0.00000	643	0.00058	0	0.00000	367	0.00018	0	0.00000	382	0.00017
Vibrionales	135623	O	0	0.00000	361	0.00033	0	0.00000	582	0.00029	0	0.00000	199	0.00009
