name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_P.txt_num	CD_7_long.bracken_P.txt_frac	CD_7_short.bracken_P.txt_num	CD_7_short.bracken_P.txt_frac	TD_31_long.bracken_P.txt_num	TD_31_long.bracken_P.txt_frac	TD_31_short.bracken_P.txt_num	TD_31_short.bracken_P.txt_frac	TD_92_long.bracken_P.txt_num	TD_92_long.bracken_P.txt_frac	TD_92_short.bracken_P.txt_num	TD_92_short.bracken_P.txt_frac
Bacillota	1239	P	8957	0.40434	473505	0.42610	7730	0.25642	168646	0.08391	3921	0.05160	348987	0.15838
Actinomycetota	201174	P	4462	0.20143	156614	0.14093	272	0.00902	15811	0.00787	127	0.00167	71459	0.03243
Bacteroidota	976	P	3864	0.17443	160265	0.14422	19578	0.64944	1708610	0.85011	62049	0.81652	1100077	0.49924
Pseudomonadota	1224	P	1928	0.08704	226260	0.20361	1453	0.04820	50588	0.02517	9356	0.12312	608835	0.27630
Campylobacterota	29547	P	312	0.01408	29149	0.02623	383	0.01270	9278	0.00462	72	0.00095	4779	0.00217
Chordata	7711	P	726	0.03277	20259	0.01823	689	0.02286	37938	0.01888	352	0.00463	43491	0.01974
Uroviricota	2731618	P	1903	0.08591	13345	0.01201	41	0.00136	3049	0.00152	115	0.00151	4192	0.00190
Deinococcota	1297	P	0	0.00000	1637	0.00147	0	0.00000	698	0.00035	0	0.00000	178	0.00008
Cyanobacteriota	1117	P	0	0.00000	1464	0.00132	0	0.00000	561	0.00028	0	0.00000	1891	0.00086
Mycoplasmatota	544448	P	0	0.00000	1400	0.00126	0	0.00000	621	0.00031	0	0.00000	484	0.00022
Thermomicrobiota	3027942	P	0	0.00000	62	0.00006	0	0.00000	18	0.00001	0	0.00000	14	0.00001
Gemmatimonadota	142182	P	0	0.00000	80	0.00007	0	0.00000	15	0.00001	0	0.00000	213	0.00010
Fusobacteriota	32066	P	0	0.00000	3092	0.00278	0	0.00000	928	0.00046	0	0.00000	1615	0.00073
Thermodesulfobacteriota	200940	P	0	0.00000	106	0.00010	0	0.00000	141	0.00007	0	0.00000	98	0.00004
Spirochaetota	203691	P	0	0.00000	93	0.00008	0	0.00000	44	0.00002	0	0.00000	57	0.00003
Planctomycetota	203682	P	0	0.00000	39	0.00004	0	0.00000	60	0.00003	0	0.00000	50	0.00002
Euryarchaeota	28890	P	0	0.00000	22433	0.02019	0	0.00000	11951	0.00595	0	0.00000	15934	0.00723
Thermoproteota	28889	P	0	0.00000	693	0.00062	0	0.00000	444	0.00022	0	0.00000	383	0.00017
Nitrososphaerota	651137	P	0	0.00000	216	0.00019	0	0.00000	188	0.00009	0	0.00000	238	0.00011
Candidatus Thermoplasmatota	2283796	P	0	0.00000	438	0.00039	0	0.00000	155	0.00008	0	0.00000	155	0.00007
Peploviricota	2731361	P	0	0.00000	21	0.00002	0	0.00000	0	0.00000	0	0.00000	15	0.00001
Nucleocytoviricota	2732007	P	0	0.00000	71	0.00006	0	0.00000	64	0.00003	0	0.00000	109	0.00005
Negarnaviricota	2497569	P	0	0.00000	11	0.00001	0	0.00000	19	0.00001	0	0.00000	18	0.00001
Cressdnaviricota	2732416	P	0	0.00000	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Lokiarchaeota	1655434	P	0	0.00000	0	0.00000	0	0.00000	22	0.00001	0	0.00000	196	0.00009
Pisuviricota	2732408	P	0	0.00000	0	0.00000	0	0.00000	14	0.00001	0	0.00000	0	0.00000
Acidobacteriota	57723	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Duplornaviricota	2732405	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00002
