name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_S.txt_num	CD_7_long.bracken_S.txt_frac	CD_7_short.bracken_S.txt_num	CD_7_short.bracken_S.txt_frac	TD_31_long.bracken_S.txt_num	TD_31_long.bracken_S.txt_frac	TD_31_short.bracken_S.txt_num	TD_31_short.bracken_S.txt_frac	TD_92_long.bracken_S.txt_num	TD_92_long.bracken_S.txt_frac	TD_92_short.bracken_S.txt_num	TD_92_short.bracken_S.txt_frac
Agathobacter rectalis	39491	S	1654	0.07630	48160	0.04369	800	0.02700	16139	0.00806	208	0.00275	22933	0.01047
Lachnospira eligens	39485	S	1446	0.06670	61306	0.05561	1405	0.04741	16093	0.00803	669	0.00886	31906	0.01457
Roseburia sp. 831b	1261635	S	68	0.00314	6034	0.00547	30	0.00101	1593	0.00080	49	0.00065	6985	0.00319
Blautia hydrogenotrophica	53443	S	54	0.00249	4132	0.00375	183	0.00618	3708	0.00185	0	0.00000	65	0.00003
Vescimonas fastidiosa	2714353	S	1667	0.07690	134641	0.12213	1717	0.05794	35866	0.01791	532	0.00705	39934	0.01824
Pusillibacter faecalis	2714358	S	375	0.01730	20931	0.01899	131	0.00442	7949	0.00397	20	0.00026	4881	0.00223
Clostridium perfringens	1502	S	1183	0.05457	35636	0.03233	1203	0.04060	11068	0.00553	429	0.00568	14656	0.00669
Sarcina sp. JB2	2726954	S	44	0.00203	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Butyricicoccus sp. GAM44	2109686	S	33	0.00152	335	0.00030	77	0.00260	728	0.00036	0	0.00000	63	0.00003
Clostridioides difficile	1496	S	458	0.02113	27144	0.02462	284	0.00958	9531	0.00476	238	0.00315	30263	0.01382
Paraclostridium bifermentans	1490	S	18	0.00083	380	0.00034	14	0.00047	202	0.00010	21	0.00028	1894	0.00086
Monoglobus pectinilyticus	1981510	S	61	0.00281	25948	0.02354	190	0.00641	9043	0.00451	55	0.00073	13234	0.00604
Enterococcus faecium	1352	S	1243	0.05734	26419	0.02396	1045	0.03526	16699	0.00834	1286	0.01703	105763	0.04830
