name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_S1.txt_num	CD_7_long.bracken_S1.txt_frac	CD_7_short.bracken_S1.txt_num	CD_7_short.bracken_S1.txt_frac	TD_31_long.bracken_S1.txt_num	TD_31_long.bracken_S1.txt_frac	TD_31_short.bracken_S1.txt_num	TD_31_short.bracken_S1.txt_frac	TD_92_long.bracken_S1.txt_num	TD_92_long.bracken_S1.txt_frac	TD_92_short.bracken_S1.txt_num	TD_92_short.bracken_S1.txt_frac
Blautia hydrogenotrophica DSM 10507	476272	S1	2834	0.17269	40524	0.04917	8711	1.00000	6882	0.00556	0	0.00000	45745	0.03413
Collinsella aerofaciens ATCC 25986	411903	S1	11730	0.71476	20434	0.02479	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr4_1	2772084	S1	640	0.03900	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr23_1	2986419	S1	194	0.01182	13	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr13_1	2986396	S1	306	0.01865	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr2_1	2986394	S1	140	0.00853	16	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr111_1	2772071	S1	261	0.01590	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr44_1	2986405	S1	54	0.00329	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
uncultured phage cr126_1	2772075	S1	41	0.00250	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalibacterium phage FP_Toutatis	2070187	S1	105	0.00640	1786	0.00217	0	0.00000	714	0.00058	0	0.00000	43	0.00003
Faecalibacterium phage FP_oengus	2070188	S1	89	0.00542	811	0.00098	0	0.00000	197	0.00016	0	0.00000	0	0.00000
Faecalibacterium phage FP_Taranis	2070186	S1	17	0.00104	6389	0.00775	0	0.00000	20	0.00002	0	0.00000	0	0.00000
Ruminococcus albus 7 = DSM 20455	697329	S1	0	0.00000	48192	0.05847	0	0.00000	14804	0.01196	0	0.00000	15483	0.01155
[Eubacterium] eligens ATCC 27750	515620	S1	0	0.00000	116835	0.14176	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Butyrivibrio proteoclasticus B316	515622	S1	0	0.00000	948	0.00115	0	0.00000	13039	0.01053	0	0.00000	1601	0.00119
Peptoclostridium acidaminophilum DSM 3953	1286171	S1	0	0.00000	34411	0.04175	0	0.00000	9127	0.00737	0	0.00000	153258	0.11434
Enterococcus faecalis T2	565637	S1	0	0.00000	17144	0.02080	0	0.00000	5053	0.00408	0	0.00000	1749	0.00130
Ligilactobacillus salivarius str. Ren	1194971	S1	0	0.00000	17484	0.02121	0	0.00000	0	0.00000	0	0.00000	318	0.00024
Lactiplantibacillus plantarum subsp. plantarum	337330	S1	0	0.00000	3030	0.00368	0	0.00000	1583	0.00128	0	0.00000	0	0.00000
Lactococcus lactis subsp. lactis	1360	S1	0	0.00000	1994	0.00242	0	0.00000	1180	0.00095	0	0.00000	181	0.00014
Streptococcus salivarius M18	1074494	S1	0	0.00000	125	0.00015	0	0.00000	1470	0.00119	0	0.00000	3373	0.00252
Anaerococcus prevotii DSM 20548	525919	S1	0	0.00000	376	0.00046	0	0.00000	124	0.00010	0	0.00000	185	0.00014
Selenomonas ruminantium subsp. lactilytica	114197	S1	0	0.00000	105679	0.12822	0	0.00000	1946	0.00157	0	0.00000	16878	0.01259
