taxonomy_id	CD_7_long	CD_7_short	TD_31_long	TD_31_short	TD_92_long	TD_92_short
39491	0.0763	0.04369	0.027	0.00806	0.00275	0.01047
39485	0.0667	0.05561	0.04741	0.00803	0.00886	0.01457
1261635	0.00314	0.00547	0.00101	0.0008	0.00065	0.00319
53443	0.00249	0.00375	0.00618	0.00185	0.0	3e-05
2714353	0.0769	0.12213	0.05794	0.01791	0.00705	0.01824
2714358	0.0173	0.01899	0.00442	0.00397	0.00026	0.00223
1502	0.05457	0.03233	0.0406	0.00553	0.00568	0.00669
2726954	0.00203	0.0	0.0	0.0	0.0	0.0
2109686	0.00152	0.0003	0.0026	0.00036	0.0	3e-05
1496	0.02113	0.02462	0.00958	0.00476	0.00315	0.01382
1490	0.00083	0.00034	0.00047	0.0001	0.00028	0.00086
1981510	0.00281	0.02354	0.00641	0.00451	0.00073	0.00604
1352	0.05734	0.02396	0.03526	0.00834	0.01703	0.0483
2420313	0.00189	0.00486	0.00226	0.00065	0.00028	0.00077
1304	0.00198	0.0001	0.00165	0.00093	0.00064	0.00213
1604	0.01472	0.00475	0.00992	0.00195	0.0	0.00104
1254	0.00065	0.00014	0.0	0.00011	0.0	0.00014
74426	0.19877	0.09587	0.00051	0.00097	0.0004	0.00149
338188	0.0304	0.01793	0.21121	0.33261	0.4067	0.30121
2755405	0.00738	0.00189	0.00564	0.0212	0.00707	0.00306
820	0.02832	0.00304	0.00192	0.00428	0.00318	0.00204
817	0.02163	0.06359	0.05308	0.09509	0.0169	0.01238
818	0.02408	0.01358	0.12125	0.06869	0.0	0.00105
28116	0.00955	0.00102	0.03736	0.01932	0.05733	0.02305
821	0.00969	0.00079	0.0	0.00681	0.0	0.00068
823	0.04438	0.02077	0.17358	0.26058	0.31872	0.15084
165179	0.00134	0.00824	0.00887	0.00635	0.0014	0.00038
562	0.03713	0.10886	0.01842	0.00829	0.11987	0.24824
573	0.04991	0.0506	0.00418	0.0008	0.00147	0.00238
244366	0.00194	0.00376	0.0	0.00013	0.0	6e-05
195	0.01236	0.00802	0.00945	0.00145	0.00089	0.00112
197	0.00212	0.01623	0.00351	0.00274	0.0	0.00096
9606	0.03349	0.01838	0.02325	0.01895	0.00479	0.01986
2955559	0.02952	0.0	0.0	0.0	0.0	0.0
2955382	0.00895	1e-05	0.0	0.0	0.0	0.0
2956060	0.01412	0.0	0.0	0.0	0.0	0.0
2956034	0.00646	1e-05	0.0	0.0	0.0	0.0
2956099	0.01204	0.0	0.0	0.0	0.0	0.0
2956046	0.00249	0.0	0.0	0.0	0.0	0.0
2956064	0.00189	0.0	0.0	0.0	0.0	0.0
2734150	0.00484	0.00162	0.0	0.00036	0.0	2e-05
2734262	0.00411	0.00074	0.0	0.0001	0.0	0.0
2734146	0.00078	0.0058	0.0	1e-05	0.0	0.0
2714355	0.0	0.00011	0.0	0.0	0.0	0.0
1264	0.0	0.00032	0.0	5e-05	0.0	1e-05
292800	0.0	3e-05	0.00148	0.00036	0.0	4e-05
169435	0.0	1e-05	0.0	0.0	0.0	0.0
238834	0.0	0.00473	0.0	0.00076	0.0	0.00187
1492	0.0	0.00081	0.0	0.00011	0.0	0.00024
411486	0.0	0.00077	0.0	0.00011	0.0	0.00065
1195166	0.0	0.00027	0.0	4e-05	0.0	0.00015
1491	0.0	0.0004	0.0	5e-05	0.0	0.0001
360422	0.0	7e-05	0.0	0.0	0.0	1e-05
1504	0.0	5e-05	0.0	0.0	0.0	2e-05
36839	0.0	3e-05	0.0	1e-05	0.0	0.0
1561	0.0	2e-05	0.0	0.0	0.0	1e-05
1488	0.0	1e-05	0.0	0.0	0.0	1e-05
831	0.0	0.00113	0.0	0.00054	0.0	0.00103
43305	0.0	0.00086	0.0	0.00015	0.0	0.00015
39488	0.0	0.0013	0.0	3e-05	0.0	1e-05
33038	0.0	0.00097	0.0	0.0	0.0	0.0
2681861	0.0	0.00078	0.0	0.00018	0.0	0.00045
185007	0.0	9e-05	0.0	2e-05	0.0	0.0
1505	0.0	0.00013	0.0	4e-05	0.0	0.00037
1731	0.0	0.00032	0.0	3e-05	0.0	9e-05
2731219	0.0	2e-05	0.0	1e-05	0.0	7e-05
1428	0.0	0.00096	0.0	0.00013	0.0	0.0004
1396	0.0	0.00022	0.0	9e-05	0.0	0.00017
1405	0.0	5e-05	0.0	1e-05	0.0	2e-05
2026187	0.0	8e-05	0.0	5e-05	0.0	0.0001
2925318	0.0	0.00058	0.0	9e-05	0.0	0.00036
3098077	0.0	0.00024	0.0	2e-05	0.0	1e-05
1423	0.0	0.00262	0.0	0.00045	0.0	0.0009
492670	0.0	9e-05	0.0	1e-05	0.0	8e-05
228899	0.0	0.00192	0.0	0.00041	0.0	0.00084
1404	0.0	0.00027	0.0	5e-05	0.0	0.00016
412384	0.0	0.00029	0.0	6e-05	0.0	0.00012
2499688	0.0	0.00025	0.0	3e-05	0.0	0.00011
3082444	0.0	0.00014	0.0	8e-05	0.0	7e-05
2777185	0.0	0.00011	0.0	3e-05	0.0	8e-05
2897333	0.0	0.00013	0.0	1e-05	0.0	5e-05
294699	0.0	5e-05	0.0	1e-05	0.0	1e-05
2844358	0.0	3e-05	0.0	3e-05	0.0	4e-05
279826	0.0	2e-05	0.0	3e-05	0.0	0.0
28031	0.0	1e-05	0.0	1e-05	0.0	2e-05
189381	0.0	2e-05	0.0	0.0	0.0	0.0
1426	0.0	5e-05	0.0	0.0	0.0	0.0
1406	0.0	0.00318	0.0	0.00056	0.0	0.00069
375489	0.0	0.00075	0.0	0.00018	0.0	0.00018
521520	0.0	0.00155	0.0	0.0	0.0	0.0
562959	0.0	0.00012	0.0	2e-05	0.0	1e-05
373687	0.0	1e-05	0.0	0.0	0.0	0.0
189691	0.0	6e-05	0.0	0.0	0.0	0.0006
867076	0.0	1e-05	0.0	0.0	0.0	0.0
1465	0.0	0.00134	0.0	0.00043	0.0	0.00052
1280	0.0	0.01661	0.0	0.00221	0.0	0.0079
246432	0.0	0.00067	0.0	0.0	0.0	0.0
1282	0.0	3e-05	0.0	4e-05	0.0	2e-05
