# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
35kd_ag	Rv2744c	Rv2744c	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
PE12	Rv1172c	Rv1172c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE16	Rv1430	Rv1430	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PE20	Rv1806	Rv1806	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PE22	Rv2107	Rv2107	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE25	Rv2431c	Rv2431c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE26	Rv2519	Rv2519	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE27	Rv2769c	Rv2769c	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
PE27A	Rv3018A	Rv3018A	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14
PE29	Rv3022A	Rv3022A	protein_coding	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0
PE31	Rv3477	Rv3477	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE32	Rv3622c	Rv3622c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE33	Rv3650	Rv3650	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PE7	Rv0916c	Rv0916c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS1	Rv0109	Rv0109	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
PE_PGRS10	Rv0747	Rv0747	protein_coding	0	3	4	7	0	0	0	0	0	4	0	0	0	3	7
PE_PGRS12	Rv0832	Rv0832	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS13	Rv0833	Rv0833	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PE_PGRS14	Rv0834c	Rv0834c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS16	Rv0977	Rv0977	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS17	Rv0978c	Rv0978c	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
PE_PGRS18	Rv0980c	Rv0980c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS19	Rv1067c	Rv1067c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS20	Rv1068c	Rv1068c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS21	Rv1087	Rv1087	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS26	Rv1441c	Rv1441c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS27	Rv1450c	Rv1450c	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
PE_PGRS28	Rv1452c	Rv1452c	protein_coding	0	6	1	0	0	0	0	0	0	1	0	0	0	6	0
PE_PGRS3	Rv0278c	Rv0278c	protein_coding	0	0	3	12	0	0	0	0	0	3	0	0	0	0	12
PE_PGRS31	Rv1768	Rv1768	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS32	Rv1803c	Rv1803c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PE_PGRS33	Rv1818c	Rv1818c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS37	Rv2126c	Rv2126c	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
PE_PGRS39	Rv2340c	Rv2340c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS4	Rv0279c	Rv0279c	protein_coding	4	4	4	3	0	0	0	3	4	4	0	0	0	4	0
PE_PGRS41	Rv2396	Rv2396	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
PE_PGRS42	Rv2487c	Rv2487c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS43	Rv2490c	Rv2490c	protein_coding	0	3	2	1	0	0	0	0	0	2	0	0	0	3	1
