locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJICCACA_00001	CDS	366				putative protein
IJICCACA_00002	CDS	1392	PPE1			PPE family protein PPE1
IJICCACA_00003	CDS	870				oxidoreductase
IJICCACA_00004	CDS	552	fcoT			fatty acyl CoA thioesterase FcoT
IJICCACA_00005	CDS	1599	fadD10			fatty-acid--CoA ligase FadD10
IJICCACA_00006	CDS	249				putative protein
IJICCACA_00007	CDS	7539	nrp			peptide synthetase Nrp
IJICCACA_00008	CDS	1923				integral membrane protein
IJICCACA_00009	CDS	2259	ctpB			cation-transporter P-type ATPase B
IJICCACA_00010	CDS	1515				hypothetical protein
IJICCACA_00011	CDS	285	rpmB1			50S ribosomal protein L28
IJICCACA_00012	CDS	1197			COG0523	putative protein
IJICCACA_00013	CDS	4899	ctpI			cation-transporter ATPase I
IJICCACA_00014	CDS	243				hypothetical protein
IJICCACA_00015	CDS	1491	PE_PGRS1			PE-PGRS family protein PE_PGRS1
IJICCACA_00016	CDS	750				integral membrane protein
IJICCACA_00017	CDS	2058				acyltransferase
IJICCACA_00018	CDS	957	gca			GDP-mannose 4,6-dehydratase
IJICCACA_00019	CDS	624	gmhA			phosphoheptose isomerase
IJICCACA_00020	CDS	654	gmhB			D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
IJICCACA_00021	CDS	1161	hddA			D-alpha-D-heptose-7-phosphate kinase HddA
IJICCACA_00022	CDS	189				hypothetical protein
IJICCACA_00023	CDS	756	ldtA			L,D-transpeptidase LdtA
IJICCACA_00024	CDS	945	oxyS			oxidative stress response regulatory protein OxyS
IJICCACA_00025	CDS	1749	oxcA			oxalyl-CoA decarboxylase OxcA
IJICCACA_00026	CDS	1629	fadD7			fatty-acid--CoA ligase FadD7
IJICCACA_00027	CDS	2145	fusA2			elongation factor G
IJICCACA_00028	CDS	435				hypothetical protein
IJICCACA_00029	CDS	183				hypothetical protein
IJICCACA_00030	CDS	369				hypothetical protein
IJICCACA_00031	CDS	1464	PE_PGRS2			PE-PGRS family protein PE_PGRS2
IJICCACA_00032	CDS	1068	pepA			serine protease PepA
IJICCACA_00033	CDS	1806	treS			trehalose synthase/amylase TreS
IJICCACA_00034	CDS	1368	mak			maltokinase
IJICCACA_00035	CDS	780				transmembrane protein
IJICCACA_00036	CDS	1023	fbpC			diacylglycerol acyltransferase/mycolyltransferase Ag85C
IJICCACA_00037	CDS	456	htdZ			3-hydroxyl-thioester dehydratase
IJICCACA_00038	CDS	1344	fadE1			acyl-CoA dehydrogenase FadE1
IJICCACA_00039	CDS	1083	fgd2			F420-dependent glucose-6-phosphate dehydrogenase
IJICCACA_00040	CDS	606				GCN5-like N-acetyltransferase
IJICCACA_00041	CDS	903	ephF			epoxide hydrolase EphF
IJICCACA_00042	CDS	606				transcriptional regulator
IJICCACA_00043	CDS	1326	cyp138			cytochrome P450 Cyp138
IJICCACA_00044	CDS	549	msrA			peptide methionine sulfoxide reductase MsrA
IJICCACA_00045	CDS	504				hypothetical protein
IJICCACA_00046	CDS	1023				oxidoreductase
IJICCACA_00047	CDS	381				hypothetical protein
IJICCACA_00048	CDS	411				hypothetical protein
IJICCACA_00049	CDS	927				hypothetical protein
IJICCACA_00050	CDS	1479				transmembrane protein
IJICCACA_00051	CDS	843				transcriptional regulator
IJICCACA_00052	CDS	954				S-adenosylmethionine-dependent methyltransferase
IJICCACA_00053	CDS	933				S-adenosylmethionine-dependent methyltransferase
IJICCACA_00054	CDS	1521				aldehyde dehydrogenase
IJICCACA_00055	CDS	861				short-chain type dehydrogenase/reductase
IJICCACA_00056	CDS	969				quinone oxidoreductase
IJICCACA_00057	CDS	288				hypothetical protein
IJICCACA_00058	CDS	1767	PE1_1			PE family protein PE1
IJICCACA_00059	CDS	1473	PE2			PE family protein PE2
IJICCACA_00060	CDS	225	PE1_2			PE family protein PE1
IJICCACA_00061	CDS	831	ptbB			phosphotyrosine protein phosphatase
IJICCACA_00062	CDS	1212	fadE2			acyl-CoA dehydrogenase FadE2
IJICCACA_00063	CDS	1101	pntAa			NAD(P) transhydrogenase subunit alpha PntAa
IJICCACA_00064	CDS	333	pntAb			NAD(P) transhydrogenase subunit alpha PntAb
IJICCACA_00065	CDS	1428	pntB			NAD(P) transhydrogenase subunit beta PntB
IJICCACA_00066	CDS	126				hypothetical protein
IJICCACA_00067	CDS	645				transcriptional regulator
IJICCACA_00068	CDS	1407	PE3			PE family protein PE3
IJICCACA_00069	CDS	1509	PE4			PE family protein PE4
IJICCACA_00070	CDS	1374				oxidoreductase
IJICCACA_00071	CDS	1119	adhE1			zinc-type alcohol dehydrogenase subunit E
IJICCACA_00072	CDS	456				hypothetical protein
IJICCACA_00073	CDS	441				hypothetical protein
IJICCACA_00074	CDS	795	mce1R			transcriptional regulator Mce1R
IJICCACA_00075	CDS	1665	fadD5			fatty-acid--CoA ligase FadD5
IJICCACA_00076	CDS	798	yrbE1A_1			membrane protein
IJICCACA_00077	CDS	870	yrbE1B_1			membrane protein
IJICCACA_00078	CDS	1365	mce1A			Mce family protein Mce1A
IJICCACA_00079	CDS	1041	mce1B_1			Mce family protein Mce1B
IJICCACA_00080	CDS	1548	mce1C			Mce family protein Mce1C
IJICCACA_00081	CDS	1593	mce1D			Mce family protein Mce1D
IJICCACA_00082	CDS	1173	lprK			Mce family lipoprotein LprK
IJICCACA_00083	CDS	1548	mce1F			Mce family protein Mce1F
IJICCACA_00084	CDS	708				Mce associated membrane protein
IJICCACA_00085	CDS	969				Mce associated transmembrane protein
IJICCACA_00086	CDS	555				Mce associated protein
IJICCACA_00087	CDS	735				Mce associated membrane protein
IJICCACA_00088	CDS	1110	lprO			lipoprotein LprO
IJICCACA_00089	CDS	1359				transmembrane protein
IJICCACA_00090	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
IJICCACA_00091	CDS	999	sigG			ECF RNA polymerase sigma factor SigG
IJICCACA_00092	CDS	897				lysophospholipase
IJICCACA_00093	CDS	750				hypothetical protein
IJICCACA_00094	CDS	510				hypothetical protein
IJICCACA_00095	CDS	2076	bglS			beta-glucosidase BglS
IJICCACA_00096	CDS	147	mymT			metallothionein
IJICCACA_00097	CDS	657				O-methyltransferase
IJICCACA_00098	CDS	432				transmembrane protein
IJICCACA_00099	CDS	1728	ilvD			dihydroxy-acid dehydratase
IJICCACA_00100	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
IJICCACA_00101	CDS	1242				MFS-type transporter
IJICCACA_00102	CDS	303				hypothetical protein
IJICCACA_00103	CDS	765	ldtB_1			L,D-transpeptidase LdtB
IJICCACA_00104	CDS	1848				hypothetical protein
IJICCACA_00105	CDS	120				hypothetical protein
IJICCACA_00106	CDS	3585				multidrug ABC transporter ATPase/permease
IJICCACA_00107	CDS	768				two component transcriptional regulator
IJICCACA_00108	CDS	585				HTH-type transcriptional regulator
IJICCACA_00109	CDS	2247				oxidoreductase
IJICCACA_00110	CDS	1992	zmp1			zinc metalloprotease
IJICCACA_00111	CDS	660				membrane protein
IJICCACA_00112	CDS	690				transmembrane protein
IJICCACA_00113	CDS	504				hypothetical protein
IJICCACA_00114	CDS	2898	mmpL11			transmembrane transport protein MmpL11
IJICCACA_00115	CDS	411				Heme-binding protein
IJICCACA_00116	CDS	1284				transmembrane protein
IJICCACA_00117	CDS	1104				transmembrane protein
IJICCACA_00118	CDS	2835	mmpL3			transmembrane transport protein MmpL3
IJICCACA_00119	CDS	735				hypothetical protein
IJICCACA_00120	CDS	594				tRNA (guanine-N(7)-)-methyltransferase
IJICCACA_00121	CDS	1086				hypothetical protein
IJICCACA_00122	CDS	1479				hypothetical protein
IJICCACA_00123	CDS	1821	pckA			phosphoenolpyruvate carboxykinase
IJICCACA_00124	CDS	972	nadR			transcriptional regulator NadR
IJICCACA_00125	CDS	1317				methyltransferase
IJICCACA_00126	CDS	1518	fadD4			fatty-acid--CoA ligase FadD4
IJICCACA_00127	CDS	1074	fadE20_1			acyl-CoA dehydrogenase FadE20
IJICCACA_00128	CDS	1014				hydratase
IJICCACA_00129	CDS	909	lipW			esterase LipW
IJICCACA_00130	CDS	1329				transmembrane protein
IJICCACA_00131	CDS	549				transmembrane protein
IJICCACA_00132	CDS	1212	lipC			esterase LipC
IJICCACA_00133	CDS	1410				diacyglycerol O-acyltransferase
IJICCACA_00134	CDS	789	echA1_1			enoyl-CoA hydratase EchA1
IJICCACA_00135	CDS	1464				aldehyde dehydrogenase
IJICCACA_00136	CDS	765				methyltransferase
IJICCACA_00137	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IJICCACA_00138	CDS	1731				transmembrane protein
