Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A089QRB9	reviewed	MSL3_MYCTU	Mycolipanoate synthase (EC 2.3.1.252) (Mycocerosic acid synthase-like polyketide synthase) (MAS-like PKS) (Mycolipanoic/mycolipenic acids synthase-like polyketide synthase)	msl3 pks3 pks4 Rv1180/Rv1181	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2085
I6WXK4	reviewed	PTPB_MYCTU	Triple specificity protein phosphatase PtpB (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (MPtpB) (Phosphoinositide phosphatase) (Protein-serine/threonine phosphatase) (Protein-tyrosine phosphatase B) (TSP PTP)	ptpB mptpB Rv0153c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	276
I6WZG6	reviewed	ENCAP_MYCTU	Type 1 encapsulin shell protein (Culture filtrate protein 29) (CFP29) [Cleaved into: Type 1 encapsulin shell protein, N-terminally processed]	enc cfp29 Rv0798c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	265
I6X235	reviewed	ADPP_MYCTU	ADP-ribose pyrophosphatase (EC 3.6.1.13) (8-oxo-(d)GDP phosphatase) (EC 3.6.1.58) (ADPR hydrolase) (MT-ADPRase)	Rv1700	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	207
I6X8D2	reviewed	PKS13_MYCTU	Polyketide synthase Pks13 (EC 2.3.1.-)	pks13 Rv3800c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1733
I6XD65	reviewed	PNCA_MYCTU	Nicotinamidase/pyrazinamidase (Nicotinamidase) (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	pncA Rv2043c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	186
I6XD69	reviewed	PKS12_MYCTU	Mycoketide-CoA synthase (EC 2.3.1.295) (Polyketide synthase Pks12)	pks12 msl6 Rv2048c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	4151
I6XFS7	reviewed	RDMTR_MYCTU	RNA/DNA methyltransferase Rv2966c (16S rRNA m2G966 methyltransferase) (5-methylcytosine-specific DNA methyltransferase) (EC 2.1.1.-) (Ribosomal RNA small subunit methyltransferase D) (EC 2.1.1.171) (RsmD-like methyltransferase)	Rv2966c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	188
I6XHI4	reviewed	FADA5_MYCTU	Steroid 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acetyltransferase FadA5) (Beta-ketoacyl-CoA thiolase)	fadA5 Rv3546	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	391
I6XU97	reviewed	EST45_MYCTU	Esterase Rv0045c (EC 3.1.1.1)	Rv0045c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	298
I6Y0R5	reviewed	FOLC_MYCTU	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC Rv2447c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	487
I6Y2J4	reviewed	LIPY_MYCTU	Triacylglycerol lipase (EC 3.1.1.3) (Esterase/lipase) (Triolein hydrolase) [Cleaved into: Cytosolic triacylglycerol lipase; Extracellular triacylglycerol lipase]	lipY PE-PGRS63 Rv3097c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	437
I6Y3Q0	reviewed	CHSE5_MYCTU	Acyl-CoA dehydrogenase FadE27 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit)	fadE27 Rv3505	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373
I6Y4D2	reviewed	PEPAM_MYCTU	N-acetylmuramoyl-L-alanine amidase Rv3717 (EC 3.5.1.28) (Zinc-dependent peptidoglycan amidase)	Rv3717	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	241
I6Y4U9	reviewed	DYP_MYCTU	Dye-decolorizing peroxidase (DyP) (EC 1.11.1.7)	dyp Rv0799c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335
I6Y778	reviewed	FABG4_MYCTU	3-oxoacyl-[acyl-carrier-protein] reductase [NADH] (EC 1.1.1.212) (Beta-ketoacyl CoA reductase) (FASII-like 3-oxoacyl-thioester reductase) (HMwFabG)	fabG4 Rv0242c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	454
I6Y9J2	reviewed	LDT2_MYCTU	L,D-transpeptidase 2 (LDT 2) (EC 2.3.2.-) (Ldt(Mt2))	ldtB lppS Rv2518c RVBD_2518c P425_02624	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	408
I6Y9Q3	reviewed	PRPC_MYCTU	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)	prpC Rv1131 RVBD_1131 P425_01180	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393
I6YCA3	reviewed	CHSE4_MYCTU	Acyl-CoA dehydrogenase FadE26 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit)	fadE26 Rv3504	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	400
I6YFP0	reviewed	BIRA_MYCTU	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA Rv3279c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	266
